"SKU FA","FA","SKU ACOES","ACAO","PRODUTO DA ACAO","VALOR DESTINADO","ANO"
1,"DEFESA","2055","Cursos de Altos Estudos da Escola Superior de Guerra","Aluno capacitado 839",1e+07,2023
1,"DEFESA","20T4","Atividades do Centro de Apoio a Sistemas Logísticos de Defesa","Sistema aprimorado 1",2677965,2023
1,"DEFESA","20X1","Participação Brasileira em Missões de Paz e em desminagem humanitária","Missão de paz realizada 52",1.8e+07,2023
1,"DEFESA","20X3","Mobilização e Logística para a Defesa Nacional","Ação implementada 1",8205868,2023
1,"DEFESA","20X5","Operações de Comando e Controle da Defesa Nacional","Ação implementada 3",34500000,2023
1,"DEFESA","20X6","Adequação e Manutenção de Unidades Militares para a Soberania e Integridade Nacional na Região do Calha Norte","Iniciativa apoiada 90",29021747,2023
1,"DEFESA","20X7","Emprego Conjunto ou Combinado das Forças Armadas","Operação realizada 18",95546237,2023
1,"DEFESA","218X","Operações de Garantia da Lei e da Ordem","Operação realizada 3",1e+06,2023
1,"DEFESA","219W","Integração dos Sistemas de Comunicações de Defesa","Atividade realizada 7",2.3e+07,2023
1,"DEFESA","21BI","Difusão do Conhecimento sobre Defesa Nacional à Sociedade Brasileira e Interação do Ensino Militar","Atividade desenvolvida 26",1491400,2023
1,"DEFESA","21BK","Manutenção das estruturas do Programa Estratégico de Sistemas Espaciais","Infraestrutura mantida 1",13253933,2023
1,"DEFESA","21E6","Cursos da Escola Superior de Defesa","Aluno capacitado 425",2744000,2023
1,"DEFESA","21E7","Manutenção da Capacidade Operativa dos Meios Aéreos das Forças Armadas","Manutenção/suprimento realizado 1",76500000,2023
1,"DEFESA","2452","Adequação da Infraestrutura dos Pelotões Especiais de Fronteira da Região do Calha Norte","Pelotão adequado 20",6500000,2023
1,"DEFESA","2866","Ações de Caráter Sigiloso","Ações de Caráter Sigiloso",2435759,2023
1,"DEFESA","2B28","Apoio ao desenvolvimento de tecnologias de interesse da Defesa Nacional","Projeto apoiado 7",1e+06,2023
1,"DEFESA","2D55","Implementação de Política, Estratégia e Assuntos Internacionais na Área de Defesa","Atividade realizada 1",11185938,2023
1,"DEFESA","123J","Aquisição de Helicópteros para Emprego das Forças Armadas","Helicóptero adquirido 2",236256001,2023
1,"DEFESA","147F","Implantação de Sistema de Defesa Cibernética para a Defesa Nacional","Sistema implantado 1",74958014,2023
1,"DEFESA","151S","Implantação da Infraestrutura para o Programa Estratégico de Sistemas Espaciais (PESE)","Infraestrutura implantada 1",3908071,2023
1,"DEFESA","15LR","Implantação da Geoinformação de Defesa - GEODEF","Portal implantado 9",1888400,2023
1,"DEFESA","15W4","Aquisição de Helicópteros Leves (Projeto TH-X)","Helicóptero adquirido 1",27863526,2023
2,"EXERCITO","2000","Administração da Unidade","Administração da Unidade",455700000,2023
2,"EXERCITO","20TP","Ativos Civis da União","Ativos Civis da União",432174010,2023
2,"EXERCITO","20XM","Prestação de Ensino Assistencial nos Colégios Militares","Aluno capacitado 15580",15900000,2023
2,"EXERCITO","212B","Benefícios Obrigatórios aos Servidores Civis, Empregados, Militares e seus Dependentes","Benefícios Obrigatórios Nacional e Exterior",1732137037,2023
2,"EXERCITO","214H","Inativos Militares das Forças Armadas","Inativos Militares",14276044963,2023
2,"EXERCITO","216H","Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos","Agente público beneficiado 300",5.8e+07,2023
2,"EXERCITO","2865","Suprimento de Fardamento","Militar atendido 169693",215018030,2023
2,"EXERCITO","2867","Ativos Militares das Forças Armadas","Ativos Militares Nacional e Exterior",16868436323,2023
2,"EXERCITO","4641","Publicidade de Utilidade Pública","Publicidade de Utilidade Pública",4500000,2023
