"EXERCICIO FINANCEIRO","SKU REF.","SKU","ORGAO ORCAMENTARIO","TITULO","FONTE","R$ PARA INVESTIMENTO"
2016,"LOA",52000,"MINISTERIO DA DEFESA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2016, Anexo IV",3530000
2016,"LOA",22000,"MINISTERIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2016, Anexo IV",47835687
2016,"LOA",24000,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2016, Anexo IV",46297250
2016,"LOA",25000,"MINISTERIO DA FAZENDA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2016, Anexo IV",6532072485
2016,"LOA",25000,"MINISTERIO DO DESENV., INDUSTRIA E COMERCIO EXTERIOR","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2016, Anexo IV",113697509
2016,"LOA",32000,"MINISTERIO DE MINAS E ENERGIA","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2016, Anexo IV",86897735644
2016,"LOA",33000,"MINISTERIO DA PREVIDENCIA SOCIAL","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2016, Anexo IV",2e+08
2016,"LOA",36000,"MINISTERIO DA SAUDE","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2016, Anexo IV",329185227
2016,"LOA",39000,"MINISTERIO DOS TRANSPORTES","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2016, Anexo IV",85000
2016,"LOA",41000,"MINISTERIO DAS COMUNICACOES","Despesa do Orcamento de Investimento por Orgao Orcamentario","Orcamento da Uniao – Exercicio financeiro de 2016, Anexo IV",1622509932
