"SKU REF.","FA","SKU","ORGAO ORCAMENTARIO","TITULO","FONTE","EXERCICIO FINANCEIRO","VALOR"
"LOA","DEFESA",52000,"Ministerio da Defesa","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,23705992174
"LOA","DEFESA",52101,"Ministerio da Defesa - Administracao Direta","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,8736247276
"LOA","AERONAUTICA",52111,"Comando da Aeronautica","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,1208795261
"LOA","EXERCITO",52121,"Comando do Exercito","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,51504959
"LOA","MARINHA",52131,"Comando da Marinha","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,2771674289
"LOA","AERONAUTICA",52211,"Caixa de Financiamento Imobiliario da Aeronautica","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,13022428
"LOA","EXERCITO",52221,"Industria de Material Belico do Brasil IMBEL","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,112717402
"LOA","EXERCITO",52222,"Fundacao Osorio","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,377006
"LOA","MARINHA",52231,"Empresa Gerencial de Projetos Navais - EMGEPRON","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,3239426689
"LOA","MARINHA",52232,"Caixa de Construcoes de Casas para o Pessoal da Marinha - CCCPM","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,86949503
"LOA","DEFESA",52901,"Fundo do Ministerio da Defesa","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,5235418
"LOA","DEFESA",52902,"Fundo de Administracao do Hospital das Forcas Armadas","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,16569669
"LOA","DEFESA",52903,"Fundo do Servico Militar","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,21860973
"LOA","AERONAUTICA",52911,"Fundo Aeronautico","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,3417612683
"LOA","EXERCITO",52921,"Fundo do Exercito","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,2266770610
"LOA","MARINHA",52931,"Fundo Naval","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,1394912809
"LOA","MARINHA",52932,"Fundo de Desenvolvimento do Ensino Profissional Maritimo","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,199951768
"LOA","MARINHA",52233,"Amazonia Azul Tecnologias de Defesa S.A. - AMAZUL","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2023. LDO-2023, Anexo I, Inciso III - Quadro 3",2023,0
"LOA","DEFESA",52000,"Ministerio da Defesa","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2022. LDO-2022, Anexo I, Inciso III - Quadro 3",2022,18535782538
"LOA","DEFESA",52101,"Ministerio da Defesa - Administracao Direta","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2022. LDO-2022, Anexo I, Inciso III - Quadro 3",2022,8593872028
"LOA","AERONAUTICA",52111,"Comando da Aeronautica","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2022. LDO-2022, Anexo I, Inciso III - Quadro 3",2022,1196820839
"LOA","EXERCITO",52121,"Comando do Exercito","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2022. LDO-2022, Anexo I, Inciso III - Quadro 3",2022,15696393
"LOA","MARINHA",52131,"Comando da Marinha","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2022. LDO-2022, Anexo I, Inciso III - Quadro 3",2022,1930439944
"LOA","AERONAUTICA",52211,"Caixa de Financiamento Imobiliario da Aeronautica","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2022. LDO-2022, Anexo I, Inciso III - Quadro 3",2022,7741700
"LOA","EXERCITO",52221,"Industria de Material Belico do Brasil IMBEL","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2022. LDO-2022, Anexo I, Inciso III - Quadro 3",2022,108080659
"LOA","EXERCITO",52222,"Fundacao Osorio","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2022. LDO-2022, Anexo I, Inciso III - Quadro 3",2022,666800
"LOA","MARINHA",52231,"Empresa Gerencial de Projetos Navais - EMGEPRON","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2022. LDO-2022, Anexo I, Inciso III - Quadro 3",2022,0
"LOA","MARINHA",52232,"Caixa de Construcoes de Casas para o Pessoal da Marinha - CCCPM","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2022. LDO-2022, Anexo I, Inciso III - Quadro 3",2022,54681096
"LOA","DEFESA",52901,"Fundo do Ministerio da Defesa","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2022. LDO-2022, Anexo I, Inciso III - Quadro 3",2022,2651492
"LOA","DEFESA",52902,"Fundo de Administracao do Hospital das Forcas Armadas","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2022. LDO-2022, Anexo I, Inciso III - Quadro 3",2022,15805727
"LOA","DEFESA",52903,"Fundo do Servico Militar","Receitas de Todas as Fontes por Orgao e Unidade Orcamentaria","Orcamento da Uniao – Exercicio financeiro de 2022. LDO-2022, Anexo I, Inciso III - Quadro 3",2022,14920425
"LOA","AERONAUTICA",52911,"Fundo Aeronautico","Receitas de Todas as Fontes por Órgão e Unidade Orçamentária","Orçamento da União – Exercício financeiro de 2022. LDO-2022, Anexo I, Inciso III - Quadro 3",2022,3353711878
