FA,Codigo,ORGAO ORCAMENTARIO,FONTE,EXERCICIO FINANCEIRO,Receita
DEFESA,52000,Ministerio da Defesa,LDO-2023,2023,23705992174
DEFESA,52101,Ministerio da Defesa - Administracao Direta,LDO-2023,2023,8736247276
AERONAUTICA,52111,Comando da Aeronautica,LDO-2023,2023,1208795261
EXERCITO,52121,Comando do Exercito,LDO-2023,2023,51504959
MARINHA,52131,Comando da Marinha,LDO-2023,2023,2771674289
AERONAUTICA,52211,Caixa de Financiamento Imobiliario da Aeronautica,LDO-2023,2023,13022428
EXERCITO,52221,Industria de Material Belico do Brasil IMBEL,LDO-2023,2023,112717402
EXERCITO,52222,Fundacao Osorio,LDO-2023,2023,377006
MARINHA,52231,Empresa Gerencial de Projetos Navais - EMGEPRON,LDO-2023,2023,3239426689
MARINHA,52232,Caixa de Construcoes de Casas para o Pessoal da Marinha - CCCPM,LDO-2023,2023,86949503
DEFESA,52901,Fundo do Ministerio da Defesa,LDO-2023,2023,5235418
DEFESA,52902,Fundo de Administracao do Hospital das Forcas Armadas,LDO-2023,2023,16569669
DEFESA,52903,Fundo do Servico Militar,LDO-2023,2023,21860973
AERONAUTICA,52911,Fundo Aeronautico,LDO-2023,2023,3417612683
EXERCITO,52921,Fundo do Exercito,LDO-2023,2023,2266770610
MARINHA,52931,Fundo Naval,LDO-2023,2023,1394912809
MARINHA,52932,Fundo de Desenvolvimento do Ensino Profissional Maritimo,LDO-2023,2023,199951768
MARINHA,52233,Amazonia Azul Tecnologias de Defesa S.A. - AMAZUL,LDO-2023,2023,0
DEFESA,52000,Ministerio da Defesa,LDO-2022,2022,18535782538
DEFESA,52101,Ministerio da Defesa - Administracao Direta,LDO-2022,2022,8593872028
AERONAUTICA,52111,Comando da Aeronautica,LDO-2022,2022,1196820839
EXERCITO,52121,Comando do Exercito,LDO-2022,2022,15696393
MARINHA,52131,Comando da Marinha,LDO-2022,2022,1930439944
AERONAUTICA,52211,Caixa de Financiamento Imobiliario da Aeronautica,LDO-2022,2022,7741700
EXERCITO,52221,Industria de Material Belico do Brasil IMBEL,LDO-2022,2022,108080659
EXERCITO,52222,Fundacao Osorio,LDO-2022,2022,666800
MARINHA,52231,Empresa Gerencial de Projetos Navais - EMGEPRON,LDO-2022,2022,0
MARINHA,52232,Caixa de Construcoes de Casas para o Pessoal da Marinha - CCCPM,LDO-2022,2022,54681096
DEFESA,52901,Fundo do Ministerio da Defesa,LDO-2022,2022,2651492
DEFESA,52902,Fundo de Administracao do Hospital das Forcas Armadas,LDO-2022,2022,15805727
DEFESA,52903,Fundo do Servico Militar,LDO-2022,2022,14920425
AERONAUTICA,52911,Fundo Aeronautico,LDO-2022,2022,3353711878
EXERCITO,52921,Fundo do Exercito,LDO-2022,2022,1945889227
MARINHA,52931,Fundo Naval,LDO-2022,2022,1066411236
